X:/My Documents/Wegennetwerk/Prog/roadInput.txt X:/My Documents/Wegennetwerk/Prog/maintenanceInput.txt
Routes for this network:
0 0 0 8 
4 0 0 
0 0 3.2 
5.6 0 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0 8 0 0 
0 0 4 
0 3.2 0 
0 5.6 0 

0.0641176 7.93588 0 0 
0 0 4 
0 3.2 0 
0 5.59836 0.00164392 

0.0897032 7.9103 0 0 
0 0 4 
0 3.2 0 
0 5.59678 0.00322105 

0.114993 7.88501 0 0 
0 0 4 
0 3.2 0 
0 5.59523 0.00477188 

0.139991 7.86001 0 0 
0 0 4 
0 3.2 0 
0 5.5937 0.00629651 

0.164704 7.8353 0 0 
0 0 4 
0 3.2 0 
0 5.5922 0.00779504 

0.189136 7.81086 0 0 
0 0 4 
0 3.2 0 
0 5.59073 0.00926757 

0.213292 7.78671 0 0 
0 0 4 
0 3.2 0 
0 5.58929 0.0107142 

0.237176 7.76282 0 0 
0 0 4 
0 3.2 0 
0 5.58786 0.0121351 

0.260793 7.73921 0 0 
0 0 4 
0 3.2 0 
0 5.58647 0.0135302 

0.284147 7.71585 0 0 
0 0 4 
0 3.2 0 
0 5.5851 0.0148998 

0 0 0 8 
0 0 4 
0 3.2 0 
0 5.58376 0.0162439 

0 0 0 8 
0 0 4 
0 3.19882 0.00117569 
0 5.58075 0.0192523 

0 0 0 8 
0 0 4 
0 3.19765 0.00235018 
0 5.57774 0.0222608 

0 0 0 8 
0 0 4 
0 3.19648 0.00352349 
0 5.57473 0.0252691 

